Status,ID,HyfI Monitor Main Page Name,Elevation Site Name,Depth Site Name,Excel Site Name,District Recomended Site Name,Site Code,Action Stage (FT),Minor Stage (FT),Moderate Stage (FT),Major Stage (FT),Comments,Datum (MSL),Action Stage (MSL),Minor Stage (MSL),Moderate Stage (MSL),Major Stage (MSL)
INSTALLED,86HWC5G4+PX9C,RMPA02 Inlet of Culverted Stream RT00007,RMPA02 Inlet of Culverted Stream RT00007,RMPA02 Inlet of Culverted Stream RT00007,RMPA02 Inlet of Culverted Stream RT00007,Emerald Parkway @ Sysco; Inlet of Culverted Stream; RT00007; RMPA02,86HWC5G4+PX9C,5.72,43.58,#VALUE!,#N/A,Action: Pipe Surcharges; Minor: Sysco Road overtopped,713.42,719.14,757,#NA,#N/A
INSTALLED,86HWC5F5+375X,RMPA02 Control Structure South of Local Basin,RMPA02 Control Structure South of Local Basin,RMPA02 Control Structure South of Local Basin,RMPA02 Control Structure South of Local Basin,Emerald Parkway @ Control Structure at Car Rental Facility; Basin; LSS; RMPA02,86HWC5F5+375X,4.62,13.52,14.52,#N/A,Action: Rectangular hoods activated; Minor: Top grates of control structure activated; Moderate: Basin overtopped,734.48,739.1,748,749,#N/A
INSTALLED,86HW95PX+V2MV,Middlebrook Basin; AC00101,Middlebrook Basin; AC00101,Middlebrook Basin; AC00101,Middlebrook Basin AC00101​,Abram Creek @ Middlebrook Basin; Stream; AC00101; NA​,86HW95PX+V2MV,2.68,#N/A,7.69,#N/A,Action: Overflow weir activated; Moderate: Basin overtopped and Middlebrook Blvd begins to flood; Note: Top of weir activated @ 827.91,818.73,821.41,#N/A,826.42,#N/A
INSTALLED,86HW95CR+9W5J, All Purpose Trail; AC00156,Big Creek @ All Purpose Trail,Big Creek @ All Purpose Trail,All Purpose Trail (AC00156),Abram Creek @ All Purpose Trail; Crossing; AC00156; ACPA01,86HW95CR+9W5J,6.59,7.59,8.59,10.59,"Action: Floodplain activation; Minor: Big Creek Pkwy floods; Moderate: home along Big Creek Pkwy Floods; Major: E. Bagley Floods,several homes along Big Creek Pkwy Flood",829.41,836,837,838,840
INSTALLED,86HW9379+8H56,Schady Rd; MN00400,Schady Rd; MN00400,Schady Rd; MN00400,Schady Rd MN00400​,Minnie Creek @ Schady Rd; Crossing; MN00400; WBPA07,86HW9379+8H56,3.08,6.38,#N/A,#N/A,Action Stage: Floodplain activation Minor Stage: Schady Road inundated,777.92,781,784.3,#N/A,#N/A
INSTALLED,86HW938Q+7RV4,Plum Creek; CWS-PC-USH-LM,Plum Creek; CWS-PC-USH-LM,Plum Creek; CWS-PC-USH-LM,Plum Creek (PL00354B),Plum Creek @ Usher Road LSS Outfall; Stream; PL00354B; NA,86HW938Q+7RV4,2.9,#N/A,#N/A,#N/A,Action: Floodplain Activation,754.1,757,#N/A,#N/A,#N/A
INSTALLED,86HW77M4+84P2, RREB_Ridge Road; RE00443, RREB_Ridge Road; RE00443, RREB_Ridge Road; RE00443,Ridge Road (RY00443),Rocky River East Branch @ Ridge Road; Crossing; RE00443; EBPA11,86HW77M4+84P2,9.24,#N/A,10.24,#N/A,Action: 1-ft below Ridge Road; Moderate: Ridge Road floods,839.76,849,#N/A,850,#N/A
INSTALLED,86HW963M+8G6Q,Stormes Basin; BD00279,Stormes Basin; BD00279,Stormes Basin; BD00279,Stormes Basin (BD00279),Baldwin Creek @ Stormes Basin; Basin; BD00279; BDPA07,86HW963M+8G6Q,13.99,14.99,15.99,#N/A,"Action: 1 ft below embankment/emergency spillway elevation; Minor:
Embankment/emergency spillway elevation; Moderate: 
1 ft above emergency spillway; Stormes Drive impassible, flooding throughout",887.01,901,902,903,#N/A
INSTALLED,86HW86XP+6PJ3,BDPA09 Basin Outlet; BD00298,BDPA09 Basin Outlet; BD00298,BDPA09 Basin Outlet; BD00298,BDPA09 Basin Outlet BD00298​,Baldwin Creek @ Cedarwood Estates Lower Basin; Basin Outlet; BD00298​; BDPA09,86HW86XP+6PJ3,2.54,#N/A,#N/A,#N/A,Action: Basin dual 4' outlet conveying 1-foot of water,902.36,904.9,#N/A,#N/A,#N/A
INSTALLED,86HW86XQ+6RHQ,Cedarwood Estates Upper Basin; BD00302,Cedarwood Estates Upper Basin; BD00302,Cedarwood Estates Upper Basin; BD00302,Cedarwood Estates Upper Basin (BD00302),Baldwin Creek @ Cedarwood Estates Upper Basin; Culverted Stream ; BD00303; NA,86HW86XQ+6RHQ,2.2,4.5,#N/A,#N/A,Action:  Basin diversion channel activated. Minor: basin access road overtopped,916.8,919,921.3,#N/A,#N/A
INSTALLED,86HW86WR+42W5,BDPA09 Culverted Stream (LSS) Inlet (south)​,BDPA09 Culverted Stream (LSS) Inlet (south)​,BDPA09 Culverted Stream (LSS) Inlet (south)​,BDPA09 Culverted Stream (LSS) Inlet (south)​,Baldwin Creek @ West of York Road; Culverted Stream Inlet South; LSS; BDPA09,86HW86WR+42W5,4.19,#N/A,7.89,#N/A,Action: Pipe Surcharges; Moderate: Water overtops and floods Res Bldgs to the North,916.11,920.3,#N/A,924,#N/A
INSTALLED,86HWC6HF+XVFR, Erwin Avenue; WB00097,Erwin Avenue; WB00097,Erwin Avenue; WB00097,Erwin Avenue (WB00097),Big Creek Chevy Branch @ Erwin Avenue; Crossing; WB00097; WBCL10,86HWC6HF+XVFR,3.55,4.55,5.15,6.15,Action: 1-ft below Erwin; Minor: Erwin Floods; Moderate: Residential homes along Erwin flood & W. 123rd St floods; Major: Several homes along Erwin and along RSS flood,765.85,769.4,770.4,771,772
INSTALLED,86HWC66J+W7XR, Chevy Basin Outlet Structure; WB00125,Chevy Basin Outlet Structure; WB00125,Chevy Basin Outlet Structure; WB00125,Chevy Basin Outlet Structure (WB00125),Big Creek Chevy Branch @ Basin Outlet Structure; Basin; WB00125; WBPA06,86HWC66J+W7XR,6.74,#N/A,8.79,10.24,"Action: Basin Overflow; Moderate: Chevy Blvd floods: Major: Chevy Blvd Impassable & several homes flood along Chevy Blvd, Deborah Dr, & Aaron Dr",785.76,792.5,#N/A,794.55,796
